"","zhong","saunders","product"
"RAB3C",0.385220901765451,0.384335256026519,0.148053973906791
"TMEM178B",0.300106609601351,0.491914367136902,0.14762675293565
"MYT1L",0.647956532805807,0.226165378308737,0.146545334369643
"CDH12",0.329421198181368,0.444191904782793,0.146326229496012
"MPZL3",0.285755354961718,0.50519451289538,0.144362037357132
"DST",0.703111599099777,0.205200281096275,0.144278697777326
"RBFOX2",0.425246682776035,0.338192231126759,0.14381512442728
"ANKS1B",0.589422516228136,0.238697587256969,0.140693732498588
"PGM2L1",0.586416012578183,0.238931834153197,0.140113453462109
"RXRA",0.689246306224035,0.202659451546779,0.139682278400006
"DLGAP4",0.400571811036045,0.335884465408359,0.1345458486075
"MGAT5B",0.475119445576094,0.276023785130133,0.131144267756844
"MAP3K10",0.319951299365873,0.406418828323841,0.130034232208969
"MEX3B",0.275893255398125,0.467209057285773,0.128899827766061
"UNC79",0.279441684645993,0.459201076722745,0.128319922470658
"CDKL5",0.297894360957889,0.430168739518119,0.128144841762811
"ANKRD12",0.548917118837486,0.227922230030452,0.12511041382733
"MFSD9",0.342303900895121,0.364299826562652,0.124701251727812
"AMBRA1",0.306416326116488,0.402454165478293,0.123318526816136
"ANK2",0.524306148998846,0.233075661747482,0.12220300263618
"PTPRD",0.265710318399199,0.453868563071538,0.120597560405125
"TSC22D2",0.447452331791167,0.264754547505192,0.118465039633513
"LMO3",0.268260246450056,0.438327549509911,0.117585856457378
"PDS5B",0.530293181900563,0.21878985450665,0.116022768113893
"FBXW7",0.48893774274946,0.235066760365425,0.114933011208499
"SNAP25",0.477905247337766,0.239810260014055,0.114606581626151
"LRFN2",0.232355634345098,0.491815392362945,0.114276077473175
"SCAMP5",0.445385777318765,0.256298047232692,0.114151504992014
"MYO18A",0.543649117622119,0.209679710748462,0.113992189731663
"BCL9",0.314938692809184,0.356786922355557,0.112366006938071
"KIF3C",0.384038205495691,0.292582112607294,0.112362709485843
"KLHL35",0.365081314804376,0.303196208197379,0.1106912703324
"SNAP91",0.320757236029201,0.343176960031024,0.110076493168455
"GPR22",0.366697122418148,0.296338109306603,0.108666331945566
"MAP1B",0.427010115545281,0.248828765518857,0.106252399915197
"ZC3H13",0.484428584163612,0.219255094869993,0.106213435178529
"GAN",0.417289919694795,0.253641523772116,0.105842051086132
"CRMP1",0.495730586496664,0.209592410400562,0.10390136853312
"FBXL16",0.490632148481265,0.211642070742563,0.103838403877448
"GDAP1",0.488299991341784,0.212344811431249,0.103687969583352
"FAM110B",0.487677786296864,0.210196513033829,0.102508170163658
"VGF",0.265659622078837,0.379093799713383,0.100709915564288
"STMN2",0.430207391950229,0.233427032091825,0.100422034686906
"HPCAL4",0.428036404240995,0.228742094167252,0.0979099434859056
"GOLGA7B",0.27500598683714,0.35370108124266,0.0972699148925011
"NSG1",0.432158606443448,0.220777699695479,0.0954109830341883
"DPYSL5",0.215995399909239,0.438866588111142,0.0947931642058694
"MED24",0.255184977592145,0.370064890060791,0.0944350006778026
